SITE_CODE,SURVEY_DATE,SURVEY_AREA_SQM,SURVEY_HABITAT,SURVEY_REASON,SURVEY_PRIMAY_OFFICER,SURVET_SECONDARY_OFFICER,SURVEY_COMMENTS,SURVEY_SPECIES,LARVAL_DENSITY_1,LARVAL_DENSITY_2,LARVAL_DENSITY_3,LARVAL_DENSITY_4,LARVAL_DENSITY_P,LARVAL_DENSITY_AV,LANDING_RATE_SPECIES,LAND_RATE,TREATMENT_DATE,TREATMENT_AREA_SQM,TREATMENT_PRIMARY_OFFICER,TREATMENT_SECONDARY_OFFICER,TREATMENT_COMMENT,TREATMENT_METHOD,TREATMENT_CONTROL_AGENT,Qty (kg),Rate,EVALUATION_DATE,EVALUATION_OFFICER,EVALUATION_MET,SPECIES,SAMPLE_STAGE_1,SAMPLE_STAGE_2,SAMPLE_STAGE_3,SAMPLE_STAGE_4,SAMPLE_STAGE_P,SAMPLE_STAGE_AD,MORTAILTY_LAR,MORTALITY_P,MORTALITY_AD,MORTALITY_TOTAL,RUN_FORM_7
CMIS-5,7/01/2013,1000,Dry,Routine,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,7/01/2013,1000,RM,,1. No breeding,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
CMIS-3,7/01/2013,1000,Brackish,Routine,RM,,6. Breeding mainly in open areas,7. Cx. Sitiens,,,,,,,,,7/01/2013,1000,RM,,10. Stale water,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
WP33-1,10/01/2013,6000,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,6000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),1.8,3,,,,,,,,,,,,,,,
WP33-4,10/01/2013,1000,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,1000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
WP33-2,10/01/2013,100,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,100,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.03,3,,,,,,,,,,,,,,,
WP34-3,10/01/2013,1000,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,1000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
WP23-10,10/01/2013,1100,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,100,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
WP23-8,10/01/2013,1200,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,1000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
WP21-1,10/01/2013,2000,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,2000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.6,3,,,,,,,,,,,,,,,
CL13-2,10/01/2013,1000,Dry,Routine,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,10/01/2013,1000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
CL31-12,10/01/2013,1000,Dry,Routine,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,10/01/2013,1000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
CL32-1,8/01/2013,5200,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,5,,,,15,,,8/01/2013,5200,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),1.56,3,,,,,,,,,,,,,,,
RB14-2,8/01/2013,4000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,5,,,,15,,,8/01/2013,4000,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),1.2,3,,,,,,,,,,,,,,,
RB14-3,8/01/2013,2000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,5,,,,15,,,8/01/2013,2000,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.6,3,,,,,,,,,,,,,,,
RB14-5,8/01/2013,1500,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,5,,,,15,,,8/01/2013,1500,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.45,3,,,,,,,,,,,,,,,
RB14-6,8/01/2013,1500,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,5,,,,15,,,8/01/2013,1500,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.45,3,,,,,,,,,,,,,,,
RB14-7,8/01/2013,350,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,5,,,,15,,,8/01/2013,350,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.105,3,,,,,,,,,,,,,,,
RB14-9,8/01/2013,150,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,5,,,,15,,,8/01/2013,150,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.045,3,,,,,,,,,,,,,,,
RB11-1,8/01/2013,20000,Salt,Tidal Inundation,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB11-2,8/01/2013,2500,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB11-3,8/01/2013,300,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB11-5,8/01/2013,5000,Salt,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB13-6,8/01/2013,300,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB13-7,8/01/2013,300,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB13-8,8/01/2013,600,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB13-9,8/01/2013,1000,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB13-10,8/01/2013,14000,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB21-1,9/01/2013,1000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,9/01/2013,1000,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
RB21-2,9/01/2013,110,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB21-3,9/01/2013,300,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,9/01/2013,300,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.09,3,,,,,,,,,,,,,,,
RB21-4,9/01/2013,5700,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,9/01/2013,5700,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),1.71,3,,,,,,,,,,,,,,,
RB24-1,9/01/2013,1200,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,9/01/2013,1200,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.36,3,,,,,,,,,,,,,,,
RB24-2,9/01/2013,350,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,9/01/2013,350,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.105,3,,,,,,,,,,,,,,,
RB24-3,9/01/2013,400,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,9/01/2013,400,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.12,3,,,,,,,,,,,,,,,
RB24-4,9/01/2013,2000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,9/01/2013,2000,TR,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.6,3,,,,,,,,,,,,,,,
RB22-1,9/01/2013,1000,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB22-2,9/01/2013,110,Fresh,Tidal Inundation,TR,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL32-18,10/01/2013,1000,Dry,Routine,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,10/01/2013,1000,RM,,1. No breeding,Ground,2. Prolink Pellets (kg),0.3,3,,,,,,,,,,,,,,,
CL31-16,10/01/2013,5000,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,5000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),1.5,3,,,,,,,,,,,,,,,
CL31-14,10/01/2013,5000,Dry,Routine,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,10/01/2013,5000,RM,,1. No breeding,Ground,2. Prolink Pellets (kg),1.5,3,,,,,,,,,,,,,,,
C31-1,10/01/2013,5000,Salt,Tidal Inundation,RM,,8. Site only partly inundated,30. No mosquitoes,,,,,,,,,10/01/2013,5000,RM,,8. Site only partly inundated,Ground,2. Prolink Pellets (kg),1.5,3,,,,,,,,,,,,,,,
KAIS-1,17/01/2013,500,Dry,Routine,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIS-2,17/01/2013,500,Salt,Tidal Inundation,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAIS-4,17/01/2013,10000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,5,,5,,,17/01/2013,10000,RM,,6. Breeding mainly in open areas,Ground,1. Prolink Prosand (kg),3,3,,,,,,,,,,,,,,,
RUIS-2,16/01/2013,15000,Salt,Tidal Inundation,PB,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,3,2,1,6,,,16/01/2013,15000,PB,,6. Breeding mainly in open areas,Ground,1. Prolink Prosand (kg),4.8,3,,,,,,,,,,,,,,,
RUIS-3,16/01/2013,25000,Salt,Tidal Inundation,PB,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,2,2,,4,,,16/01/2013,25000,PB,,6. Breeding mainly in open areas,Ground,1. Prolink Prosand (kg),1,3,,,,,,,,,,,,,,,
RU15-5,16/01/2013,30000,Salt,Tidal Inundation,PB,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,2,3,1,6,,,16/01/2013,30000,PB,,6. Breeding mainly in open areas,Ground,1. Prolink Prosand (kg),1,3,,,,,,,,,,,,,,,
EP33-7,11/01/2013,100000,Salt,Tidal Inundation,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,3,,,,20,,,13/01/2013,173000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),8.65,0.5,14/01/2013,PM,Ground,,,,,,,,,,,100,
C44.6,11/01/2013,150000,Salt,Tidal Inundation,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,7,2,,,,20,,,13/01/2013,203000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),10.15,0.5,14/01/2013,PM,Ground,,,,,,,,,,,100,
WP22-28,11/01/2013,50000,Salt,Tidal Inundation,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,2,1,,,,10,,,13/01/2013,51000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),2.55,0.5,14/01/2013,PM,Ground,,,,,,,,,,,100,
CL32-5,11/01/2013,50000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,2,,,,12,,,13/01/2013,45000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),2.25,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
RB14-4,11/01/2013,50000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,2,,,,12,,,13/01/2013,68000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),3.4,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
RB14-12,11/01/2013,50000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,10,2,,,,12,,,13/01/2013,42000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),2.14,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
RB13-5,11/01/2013,100000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,5,,,,25,,,13/01/2013,135000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),6.75,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
RB14-10,11/01/2013,10000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,5,,,,25,,,13/01/2013,34500,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),1.725,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
RB11-1,11/01/2013,120000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,15,,,,25,,,13/01/2013,86000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),4.2,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
W44-1,11/01/2013,150000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,12/01/2013,133000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),6.65,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
G12-3,11/01/2013,10000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,12/01/2013,90000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),4.5,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
G12-4,11/01/2013,47000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,5,,,,10,,,12/01/2013,10000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),0.5,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
MCIS-2,13/01/2013,0,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,13/01/2013,20000,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),2.4,1.2,,,,,,,,,,,,,,,
MCIS-4,13/01/2013,0,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,13/01/2013,140000,RM,,11. McDermotts Aviation used,Aerial,C. Vectobac 12AS (Lt),16.8,1.2,,,,,,,,,,,,,,,
G12-2,11/01/2013,45000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,10,,,,15,,,12/01/2013,114000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),5.7,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
NSIS-1,11/01/2013,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,7,,,,7,,,13/01/2013,1076000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),53.8,0.5,,,,,,,,,,,,,,,
LOIS-1,11/01/2013,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,,,,,5,,,13/01/2013,1188000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),59.4,0.5,14/01/2013,RM,Field,1. Ae. Vigilax,,,,,,,,,,100,
RUIS-5,11/01/2013,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,15,,,,15,,,13/01/2013,356000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),17.8,0.5,14/01/2013,RM,Field,1. Ae. Vigilax,,,,<1,,,,,,95,
LAIS-1,11/01/2013,20000,Salt,Tidal Inundation,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,,,,10,,,12/01/2013,1314000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),65.7,0.5,14/01/2013,RM,Field,1. Ae. Vigilax,,,,<1,,,,,,99,
PAIS-1,11/01/2013,20000,Salt,Tidal Inundation,RM,,7. Breeding under mangroves,1. Ae. Vigilax,,10,,,,10,,,12/01/2013,1420000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),71,0.5,14/01/2013,RM,Field,1. Ae. Vigilax,,,,,,,,,,100,
RUIS-2,11/01/2013,20000,Salt,Tidal Inundation,TS,,6. Breeding mainly in open areas,1. Ae. Vigilax,30,10,,,,40,,,12/01/2013,348000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),17.4,0.5,14/01/2013,RM,Field,1. Ae. Vigilax,,,,10,,,,,,75,
RUIS-3,11/01/2013,1000,Salt,Tidal Inundation,TS,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/01/2013,187000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),9.35,0.5,14/01/2013,RM,Field,1. Ae. Vigilax,,,,,,,,,,100,
RB14-11,11/01/2013,20000,Salt,Tidal Inundation,TR,,6. Breeding mainly in open areas,1. Ae. Vigilax,20,2,,,,22,,,12/01/2013,213000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),10.65,0.5,14/01/2013,TR,Ground,,,,,,,,,,,100,
GAIS-1,12/01/2013,0,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,12/01/2013,307000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),15.35,0.5,,,,,,,,,,,,,,,
PLIS-1,13/01/2013,0,Salt,Tidal Inundation,RM,,14. No survey undertaken,29. Unidentified,,,,,,,,,13/01/2013,229000,RM,,11. McDermotts Aviation used,Aerial,5. Vectobac WG (kg),11.45,0.5,,,,,,,,,,,,,,,
NSIS-10,29/01/2013,5000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,3,2,,5,,,29/01/2013,5000,RM,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),2,4,,,,,,,,,,,,,,,
CL13-2,29/01/2013,2000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,29/01/2013,2000,RM,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.8,4,,,,,,,,,,,,,,,
CL13-1,29/01/2013,1000,Brackish,Recent Rain,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL13-4,29/01/2013,5000,Brackish,Recent Rain,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL31-17,29/01/2013,100,Dry,Recent Rain,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL13-18,29/01/2013,200,Salt,Recent Rain,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,29/01/2013,100,RM,,6. Breeding mainly in open areas,Ground,2. Prolink Pellets (kg),0.03,3,,,,,,,,,,,,,,,
CL31-16,29/01/2013,4000,Salt,Recent Rain,RM,,1. No breeding,30. No mosquitoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL31-14,29/01/2013,5000,Salt,Recent Rain,RM,,7. Breeding under mangroves,1. Ae. Vigilax,,,,,,,,,29/01/2013,5000,RM,,7. Breeding under mangroves,Ground,F. Aquabac 200 GR (kg),3.5,7,,,,,,,,,,,,,,,
CL31-1,29/01/2013,10000,Salt,Recent Rain,RM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,,,,,,,,29/01/2013,3000,RM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),2.1,7,,,,,,,,,,,,,,,
WP32-2,29/01/2013,2000,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,6,,,20,30. No mosquitoes,1. None,29/01/2013,2000,PM,,6. Breeding mainly in open areas,Ground,C. Vectobac 12AS (Lt),500,1,,,,,,,,,,,,,,,
WP33-4,29/01/2013,1000,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,20,10,,,50,30. No mosquitoes,1. None,29/01/2013,1000,PM,,6. Breeding mainly in open areas,Ground,C. Vectobac 12AS (Lt),200,1,,,,,,,,,,,,,,,
WP33-6,29/01/2013,400,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,,,,20,30. No mosquitoes,1. None,29/01/2013,400,PM,,6. Breeding mainly in open areas,Ground,C. Vectobac 12AS (Lt),100,1,,,,,,,,,,,,,,,
CL43-7,29/01/2013,5000,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,29. Unidentified,,10,5,,,20,30. No mosquitoes,1. None,29/01/2013,5000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),9,7,,,,,,,,,,,,,,,
CL43-6,29/01/2013,3000,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,29. Unidentified,,5,,,,10,30. No mosquitoes,1. None,29/01/2013,3000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),7,7,,,,,,,,,,,,,,,
WP22-1,30/01/2013,15000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,10,2,,,30,30. No mosquitoes,1. None,30/01/2013,15000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),12,7,,,,,,,,,,,,,,,
WP22-3,30/01/2013,1400,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,,,,20,30. No mosquitoes,1. None,30/01/2013,1400,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),11,7,,,,,,,,,,,,,,,
WP22-16,30/01/2013,20000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,5,,,20,30. No mosquitoes,1. None,30/01/2013,20000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),14,7,,,,,,,,,,,,,,,
WP22-19,30/01/2013,15000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,20,,,,15,30. No mosquitoes,1. None,30/01/2013,15000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),10,7,,,,,,,,,,,,,,,
WP22-22,30/01/2013,5000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,5,10,,,,20,30. No mosquitoes,1. None,30/01/2013,5000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),5,7,,,,,,,,,,,,,,,
WP22-5,30/01/2013,60000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,10,,,20,30. No mosquitoes,1. None,30/01/2013,60000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),12,7,,,,,,,,,,,,,,,
EP33.7,30/01/2013,100000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,5,,,20,30. No mosquitoes,1. None,30/01/2013,,PM,,,,,,,,,,,,,,,,,,,,,
WP22-28,30/01/2013,50000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,10,,,30,30. No mosquitoes,1. None,,,PM,,,,,,,,,,,,,,,,,,,,,
WP22-20,30/01/2013,4000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,29. Unidentified,5,15,,,,20,30. No mosquitoes,1. None,30/01/2013,4000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),3,7,,,,,,,,,,,,,,,
C43-5,30/01/2013,5000,Fresh,Recent Rain,AD,,6. Breeding mainly in open areas,29. Unidentified,,10,,,,10,30. No mosquitoes,1. None,30/01/2013,5000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),7,7,,,,,,,,,,,,,,,
C43-4,30/01/2013,8000,Fresh,Recent Rain,AD,,6. Breeding mainly in open areas,29. Unidentified,4,5,5,,,30,30. No mosquitoes,1. None,30/01/2013,8000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),7,7,,,,,,,,,,,,,,,
WP32-1,30/01/2013,1500,Fresh,Recent Rain,AD,,6. Breeding mainly in open areas,29. Unidentified,,20,,,,20,30. No mosquitoes,1. None,30/01/2013,1500,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),4,7,,,,,,,,,,,,,,,
WP23-10,30/01/2013,800,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,10,,,30,30. No mosquitoes,1. None,30/01/2013,800,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),5,7,,,,,,,,,,,,,,,
WP23-8,31/01/2013,2000,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,20,,,,20,30. No mosquitoes,1. None,31/01/2013,2000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),3,7,,,,,,,,,,,,,,,
WP21-1,31/01/2013,200,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,5,,,20,30. No mosquitoes,1. None,31/01/2013,200,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),2,7,,,,,,,,,,,,,,,
WP22-3,31/01/2013,1400,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,29. Unidentified,,10,,,,10,30. No mosquitoes,1. None,31/01/2013,1400,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),1,7,,,,,,,,,,,,,,,
WP22-2,31/01/2013,500,Salt,Recent Rain,PM,,6. Breeding mainly in open areas,1. Ae. Vigilax,,10,10,,,40,30. No mosquitoes,1. None,31/01/2013,500,PM,,6. Breeding mainly in open areas,,F. Aquabac 200 GR (kg),1,7,,,,,,,,,,,,,,,
C43-5,31/01/2013,5000,Fresh,Recent Rain,PM,,6. Breeding mainly in open areas,29. Unidentified,5,5,,,,20,30. No mosquitoes,1. None,31/01/2013,5000,PM,,6. Breeding mainly in open areas,Ground,F. Aquabac 200 GR (kg),4,7,,,,,,,,,,,,,,,
